"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date_extracted","day_of_week","time_extracted","hour_extract"
"1594","RT @today_classical: #Today in 1945 Birth of Israeli-American #violinist and conductor Itzhak #Perlman. #MusicHistory #classicalmusic https…",FALSE,0,NA,2017-08-31 11:48:36,FALSE,NA,"903222988534947840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BerkPereira",15,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1594,11
"1595","Looking forward to joining @TanaseDana @CloKinsella and #DavidAdams for some #opera favourites and #duets next week @MiMFestival2017",FALSE,4,NA,2017-08-31 11:47:56,FALSE,NA,"903222822633443328",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","emccarthyluddy",2,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1595,11
"1596","RT @JamiePaisley: Final day! From 9am-4pm, Jody Knol &amp; I will announce the last 7 #classicalmusic works in the @WKAR Top 95 Countdown.
http…",FALSE,0,NA,2017-08-31 11:47:22,FALSE,NA,"903222678215155713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WKAR_Reg",2,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1596,11
"1597","RT @AlessandroForn6: MY PAINTING, ""MODULATION FROM G MINOR TO F MAJOR"" 2017 #art #arttwit #artlover #classical #ClassicalMusic @AlessandroF…",FALSE,0,NA,2017-08-31 11:46:43,FALSE,NA,"903222515866185728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LyMrwa",43,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1597,11
"1598","RT @JamiePaisley: Final day! From 9am-4pm, Jody Knol &amp; I will announce the last 7 #classicalmusic works in the @WKAR Top 95 Countdown.
http…",FALSE,0,NA,2017-08-31 11:46:25,FALSE,NA,"903222438317707265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scottpohlwkar",2,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1598,11
"1599","#Today in 1945 Birth of Israeli-American #violinist and conductor Itzhak #Perlman. #MusicHistory #classicalmusic https://t.co/W73Qp5Ovri",FALSE,21,NA,2017-08-31 11:45:13,FALSE,NA,"903222137208614912",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","today_classical",15,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1599,11
"1600","[News] Film Director Wim Wenders Makes A Successful #Opera Debut https://t.co/mhL0StDJ8A #news",FALSE,0,NA,2017-08-31 11:44:27,FALSE,NA,"903221945730138112",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","ReMsBlog",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1600,11
"1601","#Filmmakers How #composer #UrsineVulpine decides what the year's biggest #movie trailers will sound like https://t.co/eHVhqNCTJk via @Verge",FALSE,0,NA,2017-08-31 11:43:20,FALSE,NA,"903221663667499010",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SJCharles1",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1601,11
"1602","Love this #choir #choralmusic #composer #conductor #music #SATB #newmusic #recording #beauty #inspiration https://t.co/90fp2Xy92R",FALSE,0,NA,2017-08-31 11:40:09,FALSE,NA,"903220863130054658",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","michaeljtrotta",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1602,11
"1603","RT @scialpifans: Last #tour
#Scialpi #onstage #live #music #concert #shows #singer #actor #producer #composer #model #music #author https:/…",FALSE,0,NA,2017-08-31 11:40:02,FALSE,NA,"903220834839531523",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Elenace12",81,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1603,11
"1604","The latest The CLASSICAL MUSIC Daily! https://t.co/jZ4ydT8YVe #opera #classicalmusic",FALSE,2,NA,2017-08-31 11:38:54,FALSE,NA,"903220547282235394",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","ranm3dia",1,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1604,11
"1605","RT @scialpifans: Last #tour
#Scialpi #onstage #live #music #concert #shows #singer #actor #producer #composer #model #music #author https:/…",FALSE,0,NA,2017-08-31 11:35:41,FALSE,NA,"903219739861934081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elisabemax",81,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1605,11
"1606","RT @scialpifans: Last #tour
#Scialpi #onstage #live #music #concert #shows #singer #actor #producer #composer #model #music #author https:/…",FALSE,0,NA,2017-08-31 11:34:44,FALSE,NA,"903219499725459456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThedukeIt",81,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1606,11
"1607","#Today in 1941 Birth of #composer Emanuel #Nunes. #MusicHistory #classicalmusic https://t.co/Yt1lyKgQKd",FALSE,0,NA,2017-08-31 11:34:17,FALSE,NA,"903219388135993344",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NesterTweets",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1607,11
"1608","Why @artemide Would Have Been a Start-Up https://t.co/VSaI8Gsz7A #pianoprimo #opera #learnfromthebest #startup… https://t.co/N4zaQmnoGh",FALSE,1,NA,2017-08-31 11:33:02,TRUE,NA,"903219072325881856",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","lovethesign",2,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1608,11
"1609","@MsReneeLawless I was at your concert in Florida last year. Would love to listen to you again here! #paris #opera https://t.co/T3SuOXza8f",FALSE,0,"MsReneeLawless",2017-08-31 11:32:25,FALSE,NA,"903218915727290368","1426204802","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michellewv",0,FALSE,FALSE,"2.3007675","48.8712356",2017-08-31,"Thurs",1609,11
"1610","#Today in 1941 Birth of #composer Emanuel #Nunes. #MusicHistory #classicalmusic https://t.co/0EZVLQcO5f",FALSE,2,NA,2017-08-31 11:30:29,FALSE,NA,"903218430240841729",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","today_classical",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1610,11
"1611","How much do you really know about #copyright #law ? 
https://t.co/OkoG9mYijF 

#music #composer #songwriter",FALSE,0,NA,2017-08-31 11:30:02,FALSE,NA,"903218315778285568",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Roy_composer",0,FALSE,FALSE,NA,NA,2017-08-31,"Thurs",1611,11
"1612","RT @today_classical: #Today in 1938 Birth of Belgian #violist Wieland #Kuijken #MusicHistory #classicalmusc https://t.co/52iA0SDfQa",FALSE,0,NA,2017-08-31 11:28:34,FALSE,NA,"903217947891695617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmreiAssent",13,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1612,11
"1613","RT @tzookbarnoy: #composer install 
...
- taking down the garbage
- brushing my teeth

still composing.... :D

#remotework #php #Programmin…",FALSE,0,NA,2017-08-31 11:27:18,FALSE,NA,"903217629984370692",NA,"<a href=""https://twitter.com/"" rel=""nofollow"">zimmermann_st App</a>","zimmermann_st",1,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1613,11
"1614","RT @today_classical: #Today in 1938 Birth of Belgian #violist Wieland #Kuijken #MusicHistory #classicalmusc https://t.co/52iA0SDfQa",FALSE,0,NA,2017-08-31 11:27:04,FALSE,NA,"903217569162817536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dandydundyda",13,TRUE,FALSE,NA,NA,2017-08-31,"Thurs",1614,11
